id	cue	alpha_deg	location	dir	resp	rerr
sj01	1	350	3	1	0.38	0.554532925199434
sj01	1	330	2	1	0.03	0.5535987755983
sj01	2	90	2	-1	1.12	0.450796326794896
sj01	2	260	4	1	-1.49	0.255329251994329
sj01	1	60	1	-1	1.4	-0.352802448803402
sj01	2	290	2	-1	-2.18	0.958269523603968
sj01	2	300	4	1	-0.09	0.957197551196598
sj01	1	270	4	-1	-1.86	0.289203673205104
sj01	1	330	3	-1	-0.78	0.256401224401701
sj01	2	180	2	-1	3.05	0.0915926535897933
sj01	1	20	2	1	-3.12	2.81411945678072
sj01	1	90	4	1	1.58	0.00920367320510351
sj01	1	0	3	-1	-0.09	0.09
sj01	2	20	1	1	1.32	0.970934149601134
sj01	1	20	4	1	0.21	-0.139065850398866
sj01	1	10	3	-1	-0.11	0.284532925199433
sj01	2	330	2	1	-0.05	0.473598775598299
sj01	2	100	4	1	1.42	-0.32532925199433
sj01	2	0	1	1	0.12	0.12
sj01	1	330	4	-1	-0.2	-0.323598775598299
sj01	1	310	1	1	-1.35	-0.477335374002836
sj01	2	310	1	1	-1.36	-0.487335374002835
sj01	2	200	3	-1	2.96	0.530658503988659
sj01	2	120	1	1	2.05	-0.0443951023931954
sj01	1	160	1	1	-2.4	1.09065850398866
sj01	2	0	3	-1	0.85	-0.85
sj01	1	70	2	1	1.89	0.668269523603969
sj01	2	190	1	-1	3.03	0.286125578789227
sj01	1	190	2	-1	2.81	0.506125578789226
sj01	1	110	1	-1	1.45	0.469862177193763
sj01	1	350	2	1	0.11	0.284532925199434
sj01	2	270	3	-1	-2.5	0.929203673205103
sj01	2	220	4	1	-1.49	0.953460952792061
sj01	1	320	4	-1	-1.45	0.751868299202268
sj01	2	70	4	-1	-1.4	2.62173047639603
sj01	1	80	3	1	-2.06	2.82692190558412
sj01	1	90	1	-1	1.52	0.0507963267948965
sj01	2	50	1	1	1.35	0.477335374002835
sj01	2	70	3	-1	-0.52	1.74173047639603
sj01	1	230	2	-1	-2.94	0.671071972407372
sj01	2	30	2	1	1.11	0.586401224401701
sj01	2	60	4	1	1.23	0.182802448803402
sj01	1	150	3	-1	2.76	-0.142006122008505
sj01	1	250	2	-1	-2.09	0.170137822806237
sj01	2	150	2	1	2.8	0.182006122008505
sj01	2	120	4	-1	1.57	0.524395102393195
sj01	2	10	1	-1	-0.33	0.504532925199433
sj01	1	330	4	1	0.11	0.6335987755983
sj01	1	300	1	-1	-1.65	0.602802448803402
sj01	2	100	2	-1	1.42	0.32532925199433
sj01	2	130	1	1	-3.08	0.934257279586958
sj01	1	30	1	1	1.49	0.966401224401701
sj01	1	220	4	-1	-2.81	0.366539047207938
sj01	2	290	4	-1	-1.74	0.518269523603969
sj01	1	210	2	1	-2.14	0.477993877991495
sj01	1	50	3	-1	0.44	0.432664625997165
sj01	1	260	4	-1	-1.94	0.19467074800567
sj01	1	230	3	-1	-2.24	-0.0289280275926285
sj01	2	230	3	-1	-2.37	0.101071972407371
sj01	2	150	1	-1	1.57	1.04799387799149
sj01	1	100	4	1	1.34	-0.405329251994329
sj01	2	160	4	1	-2.91	0.580658503988659
sj01	1	160	2	1	2.71	-0.0825268031909272
sj01	2	120	4	1	1.45	-0.644395102393195
sj01	1	260	2	1	-0.86	0.885329251994329
sj01	2	270	1	-1	-2.07	0.499203673205104
sj01	1	340	2	1	0.12	0.469065850398866
sj01	2	80	1	-1	0.38	1.01626340159546
sj01	1	350	4	1	0.29	0.464532925199434
sj01	2	300	3	-1	-1.46	0.412802448803402
sj01	1	30	2	-1	0.08	0.443598775598299
sj01	2	250	4	1	-1.57	0.349862177193763
sj01	1	40	3	-1	0.1	0.598131700797732
sj01	2	230	1	-1	-3.06	0.791071972407371
sj01	1	130	2	1	2.18	-0.0889280275926283
sj01	2	150	4	-1	1.76	0.857993877991494
sj01	1	60	1	1	1.63	0.582802448803402
sj01	2	110	4	1	-0.74	-2.65986217719376
sj01	2	200	3	1	-2.02	0.772526803190927
sj01	2	130	2	-1	1.13	1.13892802759263
sj01	2	30	4	1	1.28	0.756401224401701
sj01	1	70	4	-1	0.31	0.91173047639603
sj01	2	30	3	1	1.3	0.776401224401701
sj01	1	20	1	1	1.05	0.700934149601134
sj01	1	40	2	1	1.38	0.681868299202268
sj01	2	210	4	-1	-2.78	0.162006122008506
sj01	2	50	1	-1	0.26	0.612664625997165
sj01	1	180	4	1	-2.7	0.441592653589793
sj01	1	110	2	-1	1.51	0.409862177193763
sj01	1	240	2	1	-1.43	0.664395102393196
sj01	1	220	4	1	-1.79	0.653460952792061
sj01	2	240	1	1	-1.88	0.214395102393196
sj01	1	30	3	-1	0	0.523598775598299
sj01	1	250	1	-1	-2.86	0.940137822806237
sj01	2	190	3	-1	2.21	1.10612557878923
sj01	1	300	3	-1	-1.47	0.422802448803402
sj01	1	250	3	-1	-1.77	-0.149862177193763
sj01	2	210	2	-1	3.12	0.545191429188092
sj01	1	130	3	-1	3.08	-0.811071972407372
sj01	2	0	4	-1	0.2	-0.2
sj01	2	220	2	-1	-3.12	0.676539047207939
sj01	2	70	4	1	1.43	0.208269523603969
sj01	1	0	1	1	0.66	0.66
sj01	1	350	1	1	0.43	0.604532925199434
sj01	1	340	2	-1	-1.32	0.970934149601135
sj01	2	160	1	1	-2.9	0.590658503988659
sj01	2	80	3	-1	0.45	0.946263401595464
sj01	1	330	2	-1	-1.33	0.806401224401701
sj01	1	330	1	-1	-0.42	-0.103598775598299
sj01	2	250	2	-1	-2.12	0.200137822806237
sj01	1	100	3	-1	1.42	0.32532925199433
sj01	1	220	3	-1	-2.78	0.336539047207939
sj01	2	340	1	1	0.15	0.499065850398866
sj01	2	260	1	1	-1.26	0.48532925199433
sj01	2	200	4	-1	-1.02	-1.77252680319093
sj01	1	150	4	-1	-0.52	3.13799387799149
sj01	1	50	3	1	1.49	0.617335374002835
sj01	1	50	1	1	1.57	0.697335374002835
sj01	1	310	4	-1	-1.33	0.457335374002835
sj01	1	0	1	-1	-0.24	0.24
sj01	1	60	3	1	1.44	0.392802448803402
sj01	2	280	2	1	-0.33	1.06626340159546
sj01	1	170	3	-1	2.83	0.13705972839036
sj01	2	20	3	-1	-0.31	0.659065850398866
sj01	1	280	1	1	-1.38	0.0162634015954642
sj01	1	290	4	1	-1.32	-0.098269523603969
sj01	1	190	1	-1	2.91	0.406125578789226
sj01	1	80	2	1	1.65	0.253736598404536
sj01	1	300	3	1	-0.4	0.647197551196597
sj01	2	190	3	1	-2.79	0.17705972839036
sj01	1	320	4	1	-0.05	0.648131700797732
sj01	1	30	3	1	0.36	-0.163598775598299
sj01	1	350	2	-1	-1.21	1.03546707480057
sj01	1	340	1	-1	-0.1	-0.249065850398866
sj01	2	40	1	1	1.21	0.511868299202268
sj01	2	180	3	-1	2.5	0.641592653589793
sj01	2	350	4	-1	-0.13	-0.044532925199434
sj01	1	80	4	-1	1.22	0.176263401595464
sj01	1	220	1	-1	-3.07	0.626539047207938
sj01	2	180	4	-1	1.74	1.40159265358979
sj01	2	20	2	-1	-0.17	0.519065850398866
sj01	1	110	4	-1	1.29	0.629862177193762
sj01	2	270	2	-1	-1.95	0.379203673205103
sj01	1	120	1	-1	1.53	0.564395102393195
sj01	2	160	2	-1	1.92	0.872526803190927
sj01	1	70	1	-1	0.51	0.711730476396031
sj01	2	260	1	-1	-1.84	0.0946707480056703
sj01	1	330	3	1	0.11	0.6335987755983
sj01	1	150	2	1	-2.91	0.755191429188091
sj01	2	350	1	-1	-0.15	-0.0245329251994335
sj01	1	280	1	-1	-1.73	0.333736598404536
sj01	2	250	4	-1	-1.88	-0.0398621771937633
sj01	1	190	2	1	-2.59	0.377059728390361
sj01	2	90	1	-1	1.12	0.450796326794896
sj01	2	150	2	-1	1.81	0.807993877991494
sj01	1	120	2	1	2.12	0.0256048976068048
sj01	1	200	3	1	-2.59	0.202526803190928
sj01	2	250	1	1	-1.5	0.419862177193763
sj01	2	240	4	1	-1.27	0.824395102393196
sj01	1	150	3	1	-3.12	0.545191429188092
sj01	2	150	3	1	3.12	0.502006122008506
sj01	2	300	2	1	-0.25	0.797197551196598
sj01	2	320	2	1	-0.34	0.358131700797732
sj01	2	230	2	1	-1.75	0.518928027592629
sj01	1	230	3	1	-2.66	-0.391071972407371
sj01	2	100	4	-1	0.33	1.41532925199433
sj01	2	170	1	-1	1.83	1.13705972839036
sj01	2	140	1	-1	1.74	0.703460952792061
sj01	2	310	2	-1	-1.68	0.807335374002835
sj01	1	80	3	-1	1.62	-0.223736598404537
sj01	2	140	4	1	0.82	-1.62346095279206
sj01	1	90	2	-1	1.09	0.480796326794896
sj01	1	190	1	1	-2.92	0.0470597283903607
sj01	1	200	4	1	-1.88	0.912526803190927
sj01	2	220	3	-1	-3.08	0.636539047207939
sj01	1	170	2	1	1.92	-1.04705972839036
